qna_code,primary_question,parent_id,depth,quickmenu_label,user,domain,category,subcategory,question_sample,answer_sample,links,utm,follow_question1,follow_question2,follow_question3,follow_question4,follow_question5_formoreinformation,default_quickmenu,default_answer_type,default_answer_prompt,notes
kp_vis_admin_001,,,,처음으로,,,,,,,,,,,,,,km_vis_admin_001,C,"{km_vis_regist_004} label
{km_vis_entry_003} label
{km_vis_trans_004} label
{km_vis_keynote_001} labell
{km_vis_showinfo_003} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_001,TRUE,ko2,1,입장료,visitor,참관등록,참관비용,등록 기간별 참관비용,언제까지 무료 등록이에요?,"2026년 2월 28일까지 등록시 무료 입장
2026년 3월 1일부터 3월 18일까지 등록 시 입장료 10,000원 발생
2026년 3월 19일부터 22일까지 등록 시 입장료 20,000원 발생합니다",,,km_vis_regist_003,km_vis_invitation_001,,,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_002,,,,-,visitor,참관등록,,,지금 등록하면 얼마에요?,"2026년 2월 28일까지 등록시 무료 입장
2026년 3월 1일부터 3월 18일까지 등록 시 입장료 10,000원 발생
2026년 3월 19일부터 22일까지 등록 시 입장료 20,000원 발생합니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_003,,ko2,2,출입증 결제,visitor,참관등록,,,출입증 결제는 어떻게 하면돼요?,현장에서 출입증 발급 받을 때 카드결제 가능하며 현금 결제 시 유인등록대를 찾아주세요,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_004,TRUE,ko1,1,참관등록,visitor,참관등록,참관등록 방법,,참관등록은 어떻게 하나요?,전시회 홈페이지 통해서 인적사항 및 설문조사 기재 후 신청해주시면 됩니다,https://kimes.kr/ko/visitor/pre-registration/step1,?utm_source=bot&utm_medium=button&utm_campaign=c6jnf2_46030_register,km_vis_regist_006,km_vis_regist_007,km_vis_regist_009,km_vis_regist_012,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_005,,,,지난 정보 불러오기,visitor,참관등록,,,지난 정보 불러오기는 어떻게 할 수 있나요?,참관등록 페이지 내 지난 정보 불러오기를 통해 데이터를 불러오면 더욱 빠르게 등록 가능합니다,,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_006,,ko1,2,현장등록,visitor,참관등록,,,현장 등록은 어떻게 하나요?,현장에 방문하여 모바일 홈페이지를 통해 인적사항 및 설문조사 기재 후 신청해주시면 됩니다,,,km_vis_regist_011,km_vis_regist_015,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_007,,ko1,2,단체등록,visitor,참관등록,단체등록,,단체로 방문하려면 어떻게 하나요?,개인정보처리방침에 의해 단체등록은 더이상 받지 않고 있습니다. 개별 등록 부탁드립니다,,,km_vis_regist_011,km_vis_regist_015,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_008,,,,-,visitor,참관등록,,,단체도 유료인가요?,"등록 기간별 참관비용과 동일하게 적용 받습니다 
2026년 2월 28일까지 등록시 무료 입장
2026년 3월 1일부터 3월 18일까지 등록 시 입장료 10,000원 발생
2026년 3월 19일부터 22일까지 등록 시 입장료 20,000원 발생합니다",,,,,,,,km_vis_admin_001,B,"{suggest 5 related questions that they have labels} + {defalut_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
kp_vis_regist_009,,ko1,2,출입 QR코드,visitor,참관등록,QR코드 확인,,QR코드는 어디서 확인 가능해요?,"입력해주신 이메일과 연락처의 카카오톡으로 보내드립니다.
못받아보신 경우, KIMES 앱에 로그인 하시면 확인하실 수 있습니다",,,km_vis_regist_011,km_vis_regist_015,km_vis_regist_016,km_vis_regist_017,,km_vis_admin_001,A,"{follow_question1} label
{follow_question2} label
{follow_question3} label
{follow_question4} label
{follow_question5} label
{default_quickmenu} label
퀵메뉴 외에 궁금하신 내용을 직접 질문해주셔도 됩니다",
